Problem,Level,Hardware,Device,Compiled,Correctness,Ref_PyTorch_Runtime_ms,Ref_PyTorch_Compiled_Runtime_ms,Triton_Runtime_ms,Speedup,Speedup_vs_Compiled,Status,Error_Message,Timestamp
100_HingeLoss,level1,NVIDIA A100-SXM4-80GB,0,True,False,-1.0000,-1.0000,-1.0000,-1.00,-1.00,SUCCESS,,2025-11-24 17:09:22
10_3D_tensor_matrix_multiplication,level1,NVIDIA A100-SXM4-80GB,0,True,False,-1.0000,-1.0000,-1.0000,-1.00,-1.00,SUCCESS,,2025-11-24 17:09:25
11_4D_tensor_matrix_multiplication,level1,NVIDIA A100-SXM4-80GB,0,True,False,-1.0000,-1.0000,-1.0000,-1.00,-1.00,SUCCESS,,2025-11-24 17:09:30
12_Matmul_with_diagonal_matrices_,level1,NVIDIA A100-SXM4-80GB,0,True,True,7.6000,7.6500,0.1410,53.90,54.26,SUCCESS,,2025-11-24 17:09:42
13_Matmul_for_symmetric_matrices,level1,NVIDIA A100-SXM4-80GB,0,True,False,-1.0000,-1.0000,-1.0000,-1.00,-1.00,SUCCESS,,2025-11-24 17:09:49
14_Matmul_for_upper_triangular_matrices,level1,NVIDIA A100-SXM4-80GB,0,True,True,7.6800,7.7200,2.2800,3.37,3.39,SUCCESS,,2025-11-24 17:10:02
15_Matmul_for_lower_triangular_matrices,level1,NVIDIA A100-SXM4-80GB,0,True,False,-1.0000,-1.0000,-1.0000,-1.00,-1.00,SUCCESS,,2025-11-24 17:10:06
16_Matmul_with_transposed_A,level1,NVIDIA A100-SXM4-80GB,0,True,False,-1.0000,-1.0000,-1.0000,-1.00,-1.00,SUCCESS,,2025-11-24 17:10:10
17_Matmul_with_transposed_B,level1,NVIDIA A100-SXM4-80GB,0,True,False,-1.0000,-1.0000,-1.0000,-1.00,-1.00,SUCCESS,,2025-11-24 17:10:13
18_Matmul_with_transposed_both,level1,NVIDIA A100-SXM4-80GB,0,True,False,-1.0000,-1.0000,-1.0000,-1.00,-1.00,SUCCESS,,2025-11-24 17:10:16
19_ReLU,level1,NVIDIA A100-SXM4-80GB,0,True,True,7.3500,7.3800,7.3400,1.00,1.01,SUCCESS,,2025-11-24 17:11:26
1_Square_matrix_multiplication_,level1,NVIDIA A100-SXM4-80GB,0,True,False,-1.0000,-1.0000,-1.0000,-1.00,-1.00,SUCCESS,,2025-11-24 17:11:31
20_LeakyReLU,level1,NVIDIA A100-SXM4-80GB,0,True,True,7.3500,7.3800,7.3400,1.00,1.01,SUCCESS,,2025-11-24 17:12:40
21_Sigmoid,level1,NVIDIA A100-SXM4-80GB,0,True,True,7.3500,7.3600,7.3000,1.01,1.01,SUCCESS,,2025-11-24 17:13:48
22_Tanh,level1,NVIDIA A100-SXM4-80GB,0,True,False,-1.0000,-1.0000,-1.0000,-1.00,-1.00,SUCCESS,,2025-11-24 17:14:03
23_Softmax,level1,NVIDIA A100-SXM4-80GB,0,True,True,15.2000,11.6000,54.7000,0.28,0.21,SUCCESS,,2025-11-24 17:18:48
24_LogSoftmax,level1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FAILED,Evaluation timeout (>5 minutes),2025-11-24 17:23:48
25_Swish,level1,NVIDIA A100-SXM4-80GB,0,True,True,18.1000,7.3700,7.3300,2.47,1.01,SUCCESS,,2025-11-24 17:25:02
26_GELU_,level1,NVIDIA A100-SXM4-80GB,0,True,False,-1.0000,-1.0000,-1.0000,-1.00,-1.00,SUCCESS,,2025-11-24 17:25:15
27_SELU_,level1,NVIDIA A100-SXM4-80GB,0,True,True,7.3500,7.4500,7.3400,1.00,1.01,SUCCESS,,2025-11-24 17:26:24
28_HardSigmoid,level1,NVIDIA A100-SXM4-80GB,0,True,True,7.3400,7.3800,7.3400,1.00,1.01,SUCCESS,,2025-11-24 17:27:34
29_Softplus,level1,NVIDIA A100-SXM4-80GB,0,True,True,7.3300,7.3400,7.2900,1.01,1.01,SUCCESS,,2025-11-24 17:28:39
2_Standard_matrix_multiplication_,level1,NVIDIA A100-SXM4-80GB,0,True,False,-1.0000,-1.0000,-1.0000,-1.00,-1.00,SUCCESS,,2025-11-24 17:28:46
30_Softsign,level1,NVIDIA A100-SXM4-80GB,0,True,True,25.5000,7.3900,7.3400,3.47,1.01,SUCCESS,,2025-11-24 17:29:54
31_ELU,level1,NVIDIA A100-SXM4-80GB,0,True,True,7.3500,7.4400,7.3300,1.00,1.02,SUCCESS,,2025-11-24 17:31:07
32_HardTanh,level1,NVIDIA A100-SXM4-80GB,0,True,True,7.3500,7.3800,7.3400,1.00,1.01,SUCCESS,,2025-11-24 17:32:19
